amfi_code,scheme_name,fund_house,category,plan,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_max_pct,sharpe_ratio,sortino_ratio,beta,alpha_pct,r_squared,max_drawdown_pct,worst_dd_start,worst_dd_end,rank_3yr_cagr,rank_sharpe,rank_alpha,rank_expense,rank_max_dd,fund_score,performance_tier
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,1.46,20.37595706234765,33.991970400445304,30.974107501859027,1.4482911703262602,2.228568188289619,-0.0002053628357904762,25.846972582891286,9.118170542650156e-07,-11.265729075028275,2023-07-11,2023-10-20,97.5,100.0,90.0,45.0,82.5,87.25,Tier 1 (Excellent)
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Regular,1.38,53.277195495404996,32.43397122906222,30.12315310072722,1.0936987435346308,1.661003453011952,0.0040463454422778634,27.106217463851923,0.0001976593279679318,-16.217208574644847,2022-03-11,2022-05-12,92.5,85.0,92.5,60.0,52.5,81.75,Tier 1 (Excellent)
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,1.45,26.677583918827153,29.57511058901836,30.907454754005492,1.3067439695428407,2.0609511290960456,-0.001291307436636602,25.15028963066556,2.9227780320672305e-05,-12.97396816518679,2022-03-07,2022-04-13,85.0,97.5,87.5,47.5,70.0,81.5,Tier 1 (Excellent)
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Direct,0.8,13.073788394478303,32.478927222623,23.29511862010305,1.0265242847993001,1.5759609188486483,0.002649276096730416,21.758992844075415,0.0001512249790014719,-12.588275606922517,2022-10-04,2023-05-30,95.0,77.5,72.5,72.5,72.5,80.5,Tier 1 (Excellent)
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,1.36,29.627681171526877,31.769242852237323,32.82740607461121,1.1801011976606492,1.8151476429712594,-0.015239256868995415,22.914558619305588,0.0027602818518489016,-18.188513572116292,2024-10-24,2025-01-23,90.0,90.0,80.0,65.0,40.0,79.25,Tier 2 (Good)
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,1.38,22.277897154308548,35.10252788903541,28.214417193652032,0.9982309868636414,1.5308661071270693,0.002932773343192569,21.442195014112205,0.00010057110468185968,-20.960883862039193,2022-04-14,2022-08-11,100.0,75.0,70.0,60.0,32.5,75.0,Tier 2 (Good)
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,1.54,60.489297118400344,30.448613060027817,25.804686425584002,1.208266567372718,1.8868618622400484,0.007902807320285364,22.28409760842209,0.0014227612436937668,-15.012385498645331,2023-08-24,2024-02-05,87.5,92.5,77.5,26.25,60.0,74.8125,Tier 2 (Good)
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,1.6,39.78380253854239,29.17135767741186,31.94952310833252,1.2349300257743299,1.9119799163117055,-0.00773076415103203,27.4686121855822,0.0008299531011194813,-16.39674294693263,2023-08-10,2023-10-20,82.5,95.0,95.0,11.25,50.0,74.1875,Tier 2 (Good)
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,1.61,21.497414349538225,26.863103668817146,29.581086910433996,1.1321218524747247,1.7012165338282041,0.002119291804262875,34.64726002596337,6.273029719970662e-05,-17.24810575345138,2022-06-06,2022-10-24,75.0,87.5,100.0,7.5,47.5,70.25,Tier 2 (Good)
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,1.6,47.96379447633372,28.960211096593724,23.53836133468803,1.0272133278753697,1.5824632159723295,0.0012558412532566341,22.04004320684373,3.1920429729268154e-05,-11.291596329323072,2023-04-24,2023-07-05,80.0,80.0,75.0,11.25,80.0,68.6875,Tier 2 (Good)
