amfi_code,fund_house,scheme_name,category,plan,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_max_pct,sharpe_ratio,sortino_ratio,beta,alpha_pct,r_squared,max_drawdown_pct,rank_3yr_cagr,rank_sharpe,rank_alpha,rank_expense,rank_max_dd,fund_score
148567,Mirae Asset MF,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Regular,1.46,14.58,31.28,29.71,1.45,1.46,-0.0,26.07,0.0,-11.27,92.5,100.0,90.0,45.0,82.5,85.75
100033,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Regular,1.38,47.73,33.63,28.9,1.09,1.12,0.01,26.68,0.0,-16.22,97.5,85.0,92.5,60.0,52.5,83.25
120843,Kotak Mahindra MF,Kotak Flexicap Fund - Regular - Growth,Equity,Regular,1.45,28.48,25.66,29.65,1.31,1.38,-0.01,25.6,0.0,-12.97,78.75,97.5,87.5,47.5,70.0,79.62
120505,ICICI Prudential MF,ICICI Pru Midcap Fund - Regular - Growth,Equity,Regular,1.36,30.35,30.21,31.48,1.18,1.24,0.0,22.58,0.0,-18.19,90.0,90.0,80.0,65.0,40.0,79.25
120504,ICICI Prudential MF,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Direct,0.8,11.5,28.37,22.37,1.03,1.05,-0.0,21.8,0.0,-12.59,87.5,78.75,70.0,72.5,72.5,78.06
119094,Axis Mutual Fund,Axis Midcap Fund - Regular - Growth,Equity,Regular,1.38,30.92,36.07,27.08,1.0,1.05,-0.01,22.2,0.0,-20.96,100.0,75.0,77.5,60.0,32.5,76.5
119551,SBI Mutual Fund,SBI Bluechip Fund - Regular Plan - Growth,Equity,Regular,1.54,48.88,27.73,24.77,1.21,1.26,0.01,21.98,0.0,-15.01,82.5,92.5,75.0,26.25,60.0,72.81
101206,Aditya Birla Sun Life MF,ABSL Frontline Equity Fund - Regular - Growth,Equity,Regular,1.6,45.09,32.53,22.6,1.03,1.07,0.0,21.97,0.0,-11.29,95.0,78.75,72.5,11.25,80.0,72.38
119598,SBI Mutual Fund,SBI Small Cap Fund - Regular Plan - Growth,Equity,Regular,1.43,84.53,27.81,31.1,0.95,0.99,0.01,32.18,0.0,-28.71,85.0,70.0,97.5,50.0,12.5,71.25
148569,Mirae Asset MF,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,Regular,1.6,44.47,23.32,30.64,1.23,1.3,-0.0,27.6,0.0,-16.4,70.0,95.0,95.0,11.25,50.0,70.44
