amfi_code,scheme_name,sub_category,hhi_score,concentration_tier,top_sector,top_sector_weight_pct
119092,Axis Bluechip Fund - Regular - Growth,Large Cap,2967.69,Highly Concentrated,IT,48.69
148569,Mirae Asset Tax Saver Fund - Regular - Growth,ELSS,2549.92,Highly Concentrated,Banking,39.82
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap,2531.55,Highly Concentrated,Banking,41.2
102887,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap,2513.83,Highly Concentrated,Pharma,39.04
149323,DSP Midcap Fund - Regular - Growth,Mid Cap,2410.77,Moderately Concentrated,Pharma,41.34
120505,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,2386.95,Moderately Concentrated,Pharma,40.75
118635,Nippon India ETF Nifty 50 BeES,Index/ETF,2374.97,Moderately Concentrated,IT,39.35
119599,SBI Small Cap Fund - Direct Plan - Growth,Small Cap,2323.61,Moderately Concentrated,Banking,34.08
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Value,2314.64,Moderately Concentrated,Banking,30.4
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap,2276.47,Moderately Concentrated,Banking,35.97
119552,SBI Bluechip Fund - Direct Plan - Growth,Large Cap,2275.08,Moderately Concentrated,Automobile,32.48
101207,ABSL Small Cap Fund - Regular - Growth,Small Cap,2227.27,Moderately Concentrated,Pharma,35.07
120504,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,2212.13,Moderately Concentrated,Banking,35.61
118633,Nippon India Large Cap Fund - Direct - Growth,Large Cap,2212.0,Moderately Concentrated,Banking,34.18
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap,2180.86,Moderately Concentrated,Banking,33.8
120841,Kotak Bluechip Fund - Regular - Growth,Large Cap,2158.93,Moderately Concentrated,Pharma,27.46
118632,Nippon India Large Cap Fund - Regular - Growth,Large Cap,2072.59,Moderately Concentrated,Telecom,30.44
148567,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,2012.48,Moderately Concentrated,Banking,30.78
149324,DSP Small Cap Fund - Regular - Growth,Small Cap,1887.01,Moderately Concentrated,Pharma,32.52
119598,SBI Small Cap Fund - Regular Plan - Growth,Small Cap,1880.85,Moderately Concentrated,IT,31.84
119093,Axis Bluechip Fund - Direct - Growth,Large Cap,1842.33,Moderately Concentrated,IT,26.67
149322,DSP Top 100 Equity Fund - Regular - Growth,Large Cap,1826.95,Moderately Concentrated,Banking,28.64
120503,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap,1821.68,Moderately Concentrated,FMCG,30.67
102885,UTI Nifty 50 Index Fund - Regular - Growth,Index,1807.12,Moderately Concentrated,Utilities,28.95
100016,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,1805.88,Moderately Concentrated,IT,25.9
101206,ABSL Frontline Equity Fund - Regular - Growth,Large Cap,1800.42,Moderately Concentrated,Banking,25.09
119094,Axis Midcap Fund - Regular - Growth,Mid Cap,1751.0,Moderately Concentrated,FMCG,23.17
125497,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap,1724.11,Moderately Concentrated,IT,26.92
120842,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap,1620.62,Moderately Concentrated,Automobile,26.66
118634,Nippon India Small Cap Fund - Regular - Growth,Small Cap,1602.99,Moderately Concentrated,FMCG,25.23
119095,Axis Small Cap Fund - Regular - Growth,Small Cap,1595.82,Moderately Concentrated,IT,24.25
119551,SBI Bluechip Fund - Regular Plan - Growth,Large Cap,1424.91,Diversified,Utilities,21.33
120843,Kotak Flexicap Fund - Regular - Growth,Flexi Cap,1362.06,Diversified,Utilities,19.94
102886,UTI Mid Cap Fund - Regular - Growth,Mid Cap,1240.2,Diversified,Consumer Goods,18.99
