investor_id,sip_count,avg_gap_days,max_gap_days,total_sip_amount,is_at_risk
INV000004,6,85.4,265.0,48256,True
INV000008,6,70.4,165.0,72853,True
INV000010,6,64.8,139.0,32183,True
INV000011,7,40.17,125.0,93920,True
INV000012,8,57.0,132.0,40139,True
INV000013,7,55.33,104.0,75613,True
INV000014,7,75.33,128.0,140315,True
INV000023,8,58.57,115.0,202529,True
INV000028,6,93.6,238.0,84262,True
INV000029,7,60.67,96.0,90012,True
INV000030,9,47.62,100.0,76470,True
INV000033,8,45.57,87.0,46033,True
INV000039,6,68.6,129.0,99338,True
INV000045,6,70.6,109.0,114438,True
INV000048,9,46.0,168.0,40327,True
INV000052,6,36.2,120.0,24378,True
INV000056,6,74.8,161.0,60977,True
INV000057,8,49.71,149.0,90907,True
INV000069,10,49.11,129.0,156054,True
INV000072,6,83.0,247.0,49372,True
INV000073,9,48.25,112.0,113509,True
INV000074,8,72.57,191.0,106669,True
INV000075,6,74.8,102.0,147761,True
INV000076,6,91.8,203.0,50910,True
INV000079,6,65.8,90.0,42160,True
INV000081,7,81.33,167.0,54704,True
INV000082,7,83.67,351.0,27594,True
INV000086,10,44.67,167.0,81221,True
INV000087,6,92.8,202.0,105288,True
INV000091,8,44.0,105.0,55134,True
INV000093,7,55.5,91.0,141515,True
INV000094,6,44.8,95.0,49928,True
INV000095,6,69.4,155.0,92823,True
INV000097,7,54.5,183.0,155107,True
INV000101,8,65.0,197.0,112802,True
INV000102,8,65.29,109.0,114074,True
INV000103,6,83.4,232.0,20675,True
INV000105,8,57.0,87.0,86911,True
INV000109,9,46.25,63.0,67651,True
INV000113,8,46.0,144.0,84349,True
INV000123,7,59.67,142.0,113633,True
INV000128,6,82.0,181.0,38273,True
INV000131,7,56.0,123.0,102201,True
INV000132,6,71.0,139.0,88403,True
INV000133,6,88.2,265.0,74695,True
INV000138,6,76.2,220.0,156066,True
INV000145,6,89.4,282.0,127034,True
INV000146,6,66.8,171.0,88618,True
INV000148,9,52.0,168.0,90012,True
INV000155,7,37.33,99.0,57530,True
INV000161,7,73.0,213.0,44287,True
INV000163,8,61.0,80.0,58271,True
INV000164,6,61.8,208.0,25253,True
INV000169,7,67.83,145.0,48708,True
INV000173,7,57.67,165.0,78387,True
INV000175,7,83.67,170.0,71320,True
INV000177,8,65.43,278.0,51520,True
INV000180,6,61.8,229.0,15924,True
INV000183,9,56.12,216.0,86040,True
INV000191,7,56.5,161.0,68656,True
INV000194,7,58.0,109.0,61857,True
INV000195,6,77.4,114.0,21739,True
INV000196,7,69.0,176.0,80685,True
INV000201,9,51.12,100.0,98278,True
INV000205,8,62.57,193.0,72091,True
INV000210,8,70.71,163.0,93572,True
INV000214,6,94.8,306.0,67357,True
INV000217,6,92.0,183.0,44146,True
INV000228,9,59.75,188.0,239176,True
INV000236,8,67.14,112.0,112217,True
INV000238,6,93.6,287.0,146422,True
INV000239,8,48.86,105.0,161292,True
INV000243,6,88.2,137.0,58145,True
INV000245,6,92.2,164.0,46023,True
INV000249,7,45.5,162.0,194759,True
INV000252,6,50.4,96.0,103128,True
INV000255,6,48.6,103.0,34653,True
INV000256,6,70.2,155.0,31902,True
INV000259,6,70.6,165.0,81938,True
