amfi_code,var_95_daily_pct,cvar_95_daily_pct,var_95_ann_pct,cvar_95_ann_pct,std_daily_pct,observation_days,scheme_name,category,sub_category,risk_category
119599,-2.6859,-3.2384,-42.64,-51.41,1.5717,1149,SBI Small Cap Fund - Direct Plan - Growth,Equity,Small Cap,Very High
119095,-2.6188,-3.1667,-41.57,-50.27,1.579,1149,Axis Small Cap Fund - Regular - Growth,Equity,Small Cap,Very High
101207,-2.6021,-3.2459,-41.31,-51.53,1.6251,1149,ABSL Small Cap Fund - Regular - Growth,Equity,Small Cap,Very High
118634,-2.5438,-3.2304,-40.38,-51.28,1.5901,1149,Nippon India Small Cap Fund - Regular - Growth,Equity,Small Cap,Very High
119598,-2.4507,-3.0595,-38.9,-48.57,1.5837,1149,SBI Small Cap Fund - Regular Plan - Growth,Equity,Small Cap,Very High
149324,-2.3483,-3.1036,-37.28,-49.27,1.5648,1149,DSP Small Cap Fund - Regular - Growth,Equity,Small Cap,Very High
102886,-1.922,-2.3251,-30.51,-36.91,1.1424,1149,UTI Mid Cap Fund - Regular - Growth,Equity,Mid Cap,High
100033,-1.9034,-2.3456,-30.21,-37.23,1.1929,1149,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Mid Cap,High
120505,-1.8892,-2.4342,-29.99,-38.64,1.2152,1149,ICICI Pru Midcap Fund - Regular - Growth,Equity,Mid Cap,High
119094,-1.848,-2.426,-29.34,-38.51,1.2225,1149,Axis Midcap Fund - Regular - Growth,Equity,Mid Cap,High
125498,-1.8365,-2.3094,-29.15,-36.66,1.1561,1149,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Mid Cap,High
120842,-1.8219,-2.2725,-28.92,-36.07,1.1273,1149,Kotak Emerging Equity Fund - Regular - Growth,Equity,Mid Cap,High
149323,-1.7882,-2.2607,-28.39,-35.89,1.1179,1149,DSP Midcap Fund - Regular - Growth,Equity,Mid Cap,High
148569,-1.7118,-2.1328,-27.17,-33.86,1.1134,1149,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,ELSS,High
