investor_id,sip_count,first_sip_date,latest_sip_date,total_sip_amount,avg_sip_amount,avg_gap_days,max_gap_days,std_gap_days,is_at_risk,retention_status
INV000004,6,2024-03-16,2025-05-17,48256,8042.67,85.4,265.0,101.37,True,At-Risk
INV000008,6,2024-05-27,2025-05-14,72853,12142.17,70.4,165.0,59.48,True,At-Risk
INV000010,6,2024-04-11,2025-03-01,32183,5363.83,64.8,139.0,50.79,True,At-Risk
INV000011,7,2024-01-03,2024-08-31,93920,13417.14,40.17,125.0,43.77,True,At-Risk
INV000012,8,2024-03-27,2025-04-30,40139,5017.38,57.0,132.0,43.04,True,At-Risk
INV000013,7,2024-04-18,2025-03-16,75613,10801.86,55.33,104.0,44.47,True,At-Risk
INV000014,7,2024-02-23,2025-05-20,140315,20045.0,75.33,128.0,42.2,True,At-Risk
INV000023,8,2024-03-21,2025-05-05,202529,25316.12,58.57,115.0,36.56,True,At-Risk
INV000028,6,2024-02-07,2025-05-20,84262,14043.67,93.6,238.0,85.98,True,At-Risk
INV000029,7,2024-05-16,2025-05-15,90012,12858.86,60.67,96.0,32.99,True,At-Risk
INV000030,9,2024-02-19,2025-03-06,76470,8496.67,47.62,100.0,34.6,True,At-Risk
INV000033,8,2024-06-24,2025-05-09,46033,5754.12,45.57,87.0,31.35,True,At-Risk
INV000039,6,2024-04-27,2025-04-05,99338,16556.33,68.6,129.0,41.72,True,At-Risk
INV000045,6,2024-03-13,2025-03-01,114438,19073.0,70.6,109.0,36.98,True,At-Risk
INV000048,9,2024-03-27,2025-03-30,40327,4480.78,46.0,168.0,51.88,True,At-Risk
INV000052,6,2024-03-31,2024-09-28,24378,4063.0,36.2,120.0,49.26,True,At-Risk
INV000056,6,2024-01-10,2025-01-18,60977,10162.83,74.8,161.0,48.98,True,At-Risk
INV000057,8,2024-04-30,2025-04-13,90907,11363.38,49.71,149.0,48.54,True,At-Risk
INV000069,10,2024-02-14,2025-05-01,156054,15605.4,49.11,129.0,36.86,True,At-Risk
INV000072,6,2024-03-24,2025-05-13,49372,8228.67,83.0,247.0,93.34,True,At-Risk
INV000073,9,2024-03-20,2025-04-10,113509,12612.11,48.25,112.0,33.55,True,At-Risk
INV000074,8,2024-01-08,2025-05-30,106669,13333.62,72.57,191.0,67.99,True,At-Risk
INV000075,6,2024-05-01,2025-05-10,147761,24626.83,74.8,102.0,21.96,True,At-Risk
INV000076,6,2024-02-06,2025-05-10,50910,8485.0,91.8,203.0,79.31,True,At-Risk
INV000079,6,2024-06-02,2025-04-27,42160,7026.67,65.8,90.0,33.24,True,At-Risk
INV000081,7,2024-01-01,2025-05-03,54704,7814.86,81.33,167.0,48.65,True,At-Risk
INV000082,7,2024-01-09,2025-05-25,27594,3942.0,83.67,351.0,132.75,True,At-Risk
INV000086,10,2024-02-05,2025-03-13,81221,8122.1,44.67,167.0,50.88,True,At-Risk
INV000087,6,2024-02-20,2025-05-29,105288,17548.0,92.8,202.0,68.76,True,At-Risk
INV000091,8,2024-01-04,2024-11-07,55134,6891.75,44.0,105.0,43.14,True,At-Risk
INV000093,7,2024-01-30,2024-12-28,141515,20216.43,55.5,91.0,25.47,True,At-Risk
INV000094,6,2024-04-04,2024-11-14,49928,8321.33,44.8,95.0,45.45,True,At-Risk
INV000095,6,2024-04-19,2025-04-01,92823,15470.5,69.4,155.0,50.07,True,At-Risk
INV000097,7,2024-05-10,2025-04-02,155107,22158.14,54.5,183.0,70.57,True,At-Risk
INV000101,8,2024-02-08,2025-05-08,112802,14100.25,65.0,197.0,64.97,True,At-Risk
INV000102,8,2024-02-11,2025-05-13,114074,14259.25,65.29,109.0,41.94,True,At-Risk
INV000103,6,2024-02-08,2025-03-31,20675,3445.83,83.4,232.0,87.47,True,At-Risk
INV000105,8,2024-01-02,2025-02-04,86911,10863.88,57.0,87.0,23.94,True,At-Risk
INV000109,9,2024-02-29,2025-03-05,67651,7516.78,46.25,63.0,20.64,True,At-Risk
INV000113,8,2024-02-11,2024-12-29,84349,10543.62,46.0,144.0,48.84,True,At-Risk
INV000123,7,2024-03-28,2025-03-21,113633,16233.29,59.67,142.0,54.25,True,At-Risk
INV000128,6,2024-03-19,2025-05-03,38273,6378.83,82.0,181.0,74.24,True,At-Risk
INV000131,7,2024-04-05,2025-03-07,102201,14600.14,56.0,123.0,36.33,True,At-Risk
INV000132,6,2024-05-12,2025-05-02,88403,14733.83,71.0,139.0,49.26,True,At-Risk
INV000133,6,2024-02-15,2025-05-01,74695,12449.17,88.2,265.0,106.1,True,At-Risk
INV000138,6,2024-05-06,2025-05-22,156066,26011.0,76.2,220.0,87.87,True,At-Risk
INV000145,6,2024-02-17,2025-05-09,127034,21172.33,89.4,282.0,110.07,True,At-Risk
INV000146,6,2024-02-12,2025-01-11,88618,14769.67,66.8,171.0,71.09,True,At-Risk
INV000148,9,2024-03-11,2025-05-01,90012,10001.33,52.0,168.0,54.81,True,At-Risk
INV000155,7,2024-06-18,2025-01-28,57530,8218.57,37.33,99.0,36.34,True,At-Risk
INV000161,7,2024-02-23,2025-05-06,44287,6326.71,73.0,213.0,71.0,True,At-Risk
INV000163,8,2024-01-06,2025-03-08,58271,7283.88,61.0,80.0,19.2,True,At-Risk
INV000164,6,2024-04-17,2025-02-20,25253,4208.83,61.8,208.0,82.25,True,At-Risk
INV000169,7,2024-03-17,2025-04-28,48708,6958.29,67.83,145.0,55.14,True,At-Risk
INV000173,7,2024-04-18,2025-03-30,78387,11198.14,57.67,165.0,55.34,True,At-Risk
INV000175,7,2024-01-12,2025-05-28,71320,10188.57,83.67,170.0,62.24,True,At-Risk
INV000177,8,2024-01-16,2025-04-18,51520,6440.0,65.43,278.0,94.96,True,At-Risk
INV000180,6,2024-05-07,2025-03-12,15924,2654.0,61.8,229.0,94.46,True,At-Risk
INV000183,9,2024-02-20,2025-05-14,86040,9560.0,56.12,216.0,70.96,True,At-Risk
INV000191,7,2024-04-12,2025-03-17,68656,9808.0,56.5,161.0,61.22,True,At-Risk
INV000194,7,2024-05-23,2025-05-06,61857,8836.71,58.0,109.0,27.24,True,At-Risk
INV000195,6,2024-04-08,2025-04-30,21739,3623.17,77.4,114.0,41.4,True,At-Risk
INV000196,7,2024-03-17,2025-05-05,80685,11526.43,69.0,176.0,68.37,True,At-Risk
INV000201,9,2024-01-17,2025-03-01,98278,10919.78,51.12,100.0,31.16,True,At-Risk
INV000205,8,2024-01-27,2025-04-09,72091,9011.38,62.57,193.0,68.84,True,At-Risk
INV000210,8,2024-01-14,2025-05-23,93572,11696.5,70.71,163.0,53.75,True,At-Risk
INV000214,6,2024-01-11,2025-04-29,67357,11226.17,94.8,306.0,119.7,True,At-Risk
INV000217,6,2024-02-04,2025-05-09,44146,7357.67,92.0,183.0,75.48,True,At-Risk
INV000228,9,2024-01-10,2025-05-02,239176,26575.11,59.75,188.0,60.39,True,At-Risk
INV000236,8,2024-01-18,2025-05-02,112217,14027.12,67.14,112.0,33.17,True,At-Risk
INV000238,6,2024-02-08,2025-05-21,146422,24403.67,93.6,287.0,108.64,True,At-Risk
INV000239,8,2024-04-16,2025-03-24,161292,20161.5,48.86,105.0,29.4,True,At-Risk
INV000243,6,2024-01-25,2025-04-10,58145,9690.83,88.2,137.0,50.81,True,At-Risk
INV000245,6,2024-02-08,2025-05-14,46023,7670.5,92.2,164.0,49.51,True,At-Risk
INV000249,7,2024-04-09,2025-01-07,194759,27822.71,45.5,162.0,58.97,True,At-Risk
INV000252,6,2024-01-25,2024-10-03,103128,17188.0,50.4,96.0,43.82,True,At-Risk
INV000255,6,2024-03-05,2024-11-03,34653,5775.5,48.6,103.0,41.79,True,At-Risk
INV000256,6,2024-03-02,2025-02-16,31902,5317.0,70.2,155.0,68.61,True,At-Risk
INV000259,6,2024-01-25,2025-01-12,81938,13656.33,70.6,165.0,63.01,True,At-Risk
INV000260,8,2024-01-08,2025-02-28,139633,17454.12,59.57,206.0,68.26,True,At-Risk
INV000262,8,2024-04-18,2025-04-28,47209,5901.12,53.57,122.0,51.71,True,At-Risk
INV000263,8,2024-01-11,2025-05-04,157678,19709.75,68.43,271.0,95.62,True,At-Risk
INV000265,10,2024-01-25,2025-05-20,203433,20343.3,53.44,140.0,55.64,True,At-Risk
INV000268,7,2024-01-22,2025-01-30,79605,11372.14,62.33,143.0,44.03,True,At-Risk
INV000279,9,2024-03-01,2025-02-11,61623,6847.0,43.38,133.0,45.12,True,At-Risk
INV000280,9,2024-01-22,2025-04-12,145194,16132.67,55.75,191.0,59.27,True,At-Risk
INV000283,6,2024-02-11,2025-01-16,24362,4060.33,68.0,195.0,73.21,True,At-Risk
INV000287,7,2024-01-17,2025-03-11,64351,9193.0,69.83,301.0,114.76,True,At-Risk
INV000289,8,2024-01-21,2025-04-04,81640,10205.0,62.71,142.0,45.01,True,At-Risk
INV000291,6,2024-02-13,2025-05-03,76178,12696.33,89.0,196.0,76.93,True,At-Risk
INV000292,7,2024-05-13,2025-02-13,123656,17665.14,46.0,95.0,32.97,True,At-Risk
INV000293,7,2024-01-09,2024-10-17,70574,10082.0,47.0,91.0,33.95,True,At-Risk
INV000297,6,2024-02-01,2025-04-29,22338,3723.0,90.6,163.0,58.14,True,At-Risk
INV000299,6,2024-03-22,2025-05-22,45557,7592.83,85.2,240.0,92.58,True,At-Risk
INV000304,7,2024-02-01,2025-03-27,79554,11364.86,70.0,204.0,76.51,True,At-Risk
INV000309,8,2024-01-08,2025-01-06,63146,7893.25,52.0,157.0,53.02,True,At-Risk
INV000310,7,2024-02-25,2025-05-25,46368,6624.0,75.83,164.0,56.03,True,At-Risk
INV000318,6,2024-01-29,2025-05-30,69726,11621.0,97.4,175.0,53.06,True,At-Risk
INV000319,7,2024-02-17,2025-05-03,40143,5734.71,73.5,201.0,70.54,True,At-Risk
INV000321,7,2024-01-03,2025-03-15,91225,13032.14,72.83,204.0,67.58,True,At-Risk
INV000328,9,2024-03-09,2025-01-03,64273,7141.44,37.5,73.0,23.19,True,At-Risk
INV000331,8,2024-01-23,2025-01-12,124378,15547.25,50.71,163.0,52.47,True,At-Risk
INV000334,7,2024-07-06,2024-12-06,43720,6245.71,25.5,60.0,22.68,False,Healthy Cadence
INV000335,6,2024-01-25,2025-05-19,68848,11474.67,96.0,279.0,105.92,True,At-Risk
INV000339,6,2024-02-15,2025-05-30,74556,12426.0,94.0,195.0,78.98,True,At-Risk
INV000341,8,2024-02-18,2025-03-05,76460,9557.5,54.43,191.0,76.73,True,At-Risk
INV000356,6,2024-06-13,2025-03-12,72865,12144.17,54.4,157.0,61.66,True,At-Risk
INV000359,9,2024-02-19,2025-04-27,93451,10383.44,54.12,197.0,61.84,True,At-Risk
INV000363,7,2024-02-12,2025-05-19,59677,8525.29,77.0,153.0,50.99,True,At-Risk
INV000369,6,2024-03-06,2024-10-11,22654,3775.67,43.8,112.0,41.23,True,At-Risk
INV000371,8,2024-01-18,2025-03-08,71985,8998.12,59.29,147.0,54.91,True,At-Risk
INV000372,7,2024-03-03,2025-01-24,89873,12839.0,54.5,121.0,48.69,True,At-Risk
INV000380,6,2024-01-18,2025-05-17,72700,12116.67,97.0,272.0,102.69,True,At-Risk
INV000388,9,2024-02-27,2025-05-01,109420,12157.78,53.62,119.0,38.13,True,At-Risk
INV000392,7,2024-02-10,2025-05-18,39530,5647.14,77.17,205.0,80.13,True,At-Risk
INV000395,7,2024-04-13,2025-03-13,23004,3286.29,55.67,119.0,48.78,True,At-Risk
INV000396,6,2024-01-24,2025-03-15,46049,7674.83,83.2,153.0,62.02,True,At-Risk
INV000399,10,2024-01-08,2025-03-29,58193,5819.3,49.56,68.0,19.74,True,At-Risk
INV000400,6,2024-05-01,2025-03-10,21256,3542.67,62.6,101.0,33.17,True,At-Risk
INV000403,6,2024-05-30,2025-03-17,74178,12363.0,58.2,90.0,33.45,True,At-Risk
INV000407,6,2024-02-03,2025-03-21,112123,18687.17,82.4,157.0,52.8,True,At-Risk
INV000408,6,2024-04-15,2024-12-05,47374,7895.67,46.8,125.0,48.96,True,At-Risk
INV000412,8,2024-07-06,2025-05-08,87441,10930.12,43.71,70.0,23.04,True,At-Risk
INV000414,8,2024-01-12,2025-04-20,95455,11931.88,66.29,233.0,76.75,True,At-Risk
INV000415,7,2024-03-30,2025-05-01,42775,6110.71,66.17,128.0,53.77,True,At-Risk
INV000418,6,2024-01-16,2025-03-25,113497,18916.17,86.8,238.0,96.78,True,At-Risk
INV000427,7,2024-02-04,2025-03-21,106145,15163.57,68.5,116.0,52.83,True,At-Risk
INV000428,8,2024-01-01,2024-12-31,54350,6793.75,52.14,164.0,54.81,True,At-Risk
INV000429,6,2024-01-22,2025-02-11,117284,19547.33,77.2,187.0,69.87,True,At-Risk
INV000437,6,2024-01-01,2025-05-04,32739,5456.5,97.8,295.0,115.46,True,At-Risk
INV000440,8,2024-01-17,2025-05-18,33647,4205.88,69.57,162.0,61.09,True,At-Risk
INV000441,6,2024-06-28,2025-04-28,45638,7606.33,60.8,151.0,56.83,True,At-Risk
INV000444,6,2024-04-26,2025-04-27,76737,12789.5,73.2,129.0,40.75,True,At-Risk
INV000445,9,2024-01-24,2025-04-30,52898,5877.56,57.75,129.0,34.48,True,At-Risk
INV000446,6,2024-02-13,2024-08-24,31195,5199.17,38.6,101.0,41.92,True,At-Risk
INV000449,6,2024-06-13,2025-02-02,59567,9927.83,46.8,70.0,19.03,True,At-Risk
INV000452,9,2024-03-09,2025-04-08,84270,9363.33,49.38,123.0,35.84,True,At-Risk
INV000457,6,2024-02-25,2025-05-27,32725,5454.17,91.4,256.0,103.93,True,At-Risk
INV000460,6,2024-03-02,2024-10-05,35369,5894.83,43.4,107.0,44.66,True,At-Risk
INV000463,7,2024-01-09,2025-02-03,144163,20594.71,65.17,181.0,60.39,True,At-Risk
INV000466,7,2024-01-26,2025-04-10,125151,17878.71,73.33,135.0,55.15,True,At-Risk
INV000467,10,2024-01-01,2025-05-25,65408,6540.8,56.67,272.0,86.17,True,At-Risk
INV000469,7,2024-03-30,2025-05-27,34180,4882.86,70.5,183.0,67.85,True,At-Risk
INV000483,8,2024-01-18,2025-05-25,142115,17764.38,70.43,252.0,83.8,True,At-Risk
INV000491,6,2024-02-02,2025-05-22,43008,7168.0,95.0,202.0,75.31,True,At-Risk
INV000493,10,2024-03-01,2025-05-03,130085,13008.5,47.56,201.0,60.88,True,At-Risk
INV000497,7,2024-03-23,2025-05-28,72087,10298.14,71.83,191.0,73.22,True,At-Risk
INV000499,7,2024-01-28,2025-05-09,127344,18192.0,77.83,157.0,54.03,True,At-Risk
INV000507,7,2024-02-27,2025-04-23,58920,8417.14,70.17,249.0,91.81,True,At-Risk
INV000512,9,2024-02-18,2025-05-01,73426,8158.44,54.75,112.0,43.01,True,At-Risk
INV000522,6,2024-01-12,2025-05-30,28275,4712.5,100.8,309.0,118.7,True,At-Risk
INV000524,7,2024-06-19,2025-05-15,118571,16938.71,55.0,91.0,32.09,True,At-Risk
INV000527,6,2024-09-07,2025-05-19,115570,19261.67,50.8,116.0,49.76,True,At-Risk
INV000529,6,2024-06-08,2025-03-31,23027,3837.83,59.2,110.0,42.68,True,At-Risk
INV000531,7,2024-07-19,2025-04-27,151584,21654.86,47.0,82.0,32.19,True,At-Risk
INV000539,7,2024-01-26,2025-05-02,107371,15338.71,77.0,153.0,64.85,True,At-Risk
INV000540,7,2024-02-19,2025-05-05,78276,11182.29,73.5,123.0,33.77,True,At-Risk
INV000543,7,2024-01-11,2025-05-27,162711,23244.43,83.67,218.0,77.39,True,At-Risk
INV000545,6,2024-03-27,2025-05-04,48548,8091.33,80.6,181.0,66.25,True,At-Risk
INV000546,9,2024-01-14,2025-03-29,92002,10222.44,55.0,154.0,60.93,True,At-Risk
INV000547,6,2024-03-15,2024-12-19,37135,6189.17,55.8,140.0,49.22,True,At-Risk
INV000549,6,2024-01-19,2025-05-14,86784,14464.0,96.2,146.0,51.53,True,At-Risk
INV000553,6,2024-04-22,2025-04-17,54698,9116.33,72.0,172.0,62.5,True,At-Risk
INV000554,6,2024-02-18,2025-02-03,56741,9456.83,70.2,171.0,64.82,True,At-Risk
